text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 ... stores Amazon Fashion,Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 ...,4.3,"12,324",₹448,"₹1,199",Amazon Fashion.csv
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant (Pustak Blue) stores Amazon Fashion,ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant (Pustak Blue),4.0,37,₹435,"₹2,599",Amazon Fashion.csv
"Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N... stores Amazon Fashion","Cetaphil Moisturizing Lotion for Normal to Combination, Sensitive Skin| 100 ml| Moisturizer with Niacinamide, Panthenol| N...",4.3,"7,500",₹413,₹486,Amazon Fashion.csv
Titan Karishma Revive Analog Silver Dial Women's Watch-NL2594BM01 stores Amazon Fashion,Titan Karishma Revive Analog Silver Dial Women's Watch-NL2594BM01,4.3,"1,169",,"₹1,995",Amazon Fashion.csv
Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm) stores Amazon Fashion,Multiplication chart Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),4.4,732,₹145,₹185,Amazon Fashion.csv
Sukkhi Exotic Kundan Gold Plated Wedding Jewellery Choker Necklace Set for Women (N73524) stores Amazon Fashion,Sukkhi Exotic Kundan Gold Plated Wedding Jewellery Choker Necklace Set for Women (N73524),3.7,"1,898",₹167,"₹2,845",Amazon Fashion.csv
PRO Creme Luxe Smooth Leather Shoe Moisturizer Cream I 150 ML stores Amazon Fashion,PRO Creme Luxe Smooth Leather Shoe Moisturizer Cream I 150 ML,4.3,582,,₹325,Amazon Fashion.csv
G 1 Garbage Bags | Dustbin Bags | Trash Bags | Medium | 19x21 inches | Pack of 3 | Black | 30 Bags Per Pack stores Amazon Fashion,G 1 Garbage Bags | Dustbin Bags | Trash Bags | Medium | 19x21 inches | Pack of 3 | Black | 30 Bags Per Pack,4.2,"5,190",₹190,₹375,Amazon Fashion.csv
VLCC Almond Honey Deep Nourishing Skin Brightening Body Lotion (700ml) (Each 350ml) Buy 1 Get 1 Free stores Amazon Fashion,VLCC Almond Honey Deep Nourishing Skin Brightening Body Lotion (700ml) (Each 350ml) Buy 1 Get 1 Free,4.1,"19,709",₹235,₹350,Amazon Fashion.csv
SHOPPY VILLA WITH SV LOGO Women Camisole (Comi-Secret_Multicolour_Free Size) stores Amazon Fashion,SHOPPY VILLA WITH SV LOGO Women Camisole (Comi-Secret_Multicolour_Free Size),4.1,"1,086",₹279,₹499,Amazon Fashion.csv
